title,platform,Score,release_year
Sid Meier's Civilization V: Gods & Kings,PC,9,2012
Sid Meier's Civilization V: Gods & Kings,Macintosh,9,2012
Sid Meier's Civilization: Beyond Earth,PC,8,2014
Sid Meier's Civilization: Beyond Earth -- Rising Tide,PC,7,2015
Sid Meier's Pirates!,PlayStation Portable,9,2007
Sid Meier's Pirates!,iPhone,9,2011
Sid Meier's Pirates! Live the Life,PC,9,2004
Sid Meier's Pirates! Live the Life,Xbox,9,2005
Sid Meier's Railroads!,PC,8,2006
Sid Meier's Starships,PC,7,2015
Sid Meier's Starships,iPad,7,2015
Side Pocket,Nintendo 3DS,5,2011
Sideway: New York,PlayStation 3,8,2011
Sideway: New York,PC,8,2011
Siege Hero,iPhone,8,2011
Sierra Sports: Skiing 1999 Edition,PC,3,1999
Siesta Fiesta,Nintendo 3DS,8,2014
Sigma Star Saga,Game Boy Advance,6,2005
Silent Bomber,PlayStation,8,2000
Silent Debuggers,Wii,5,2007
Silent Hill,PlayStation,9,1999
Silent Hill 2,PlayStation 2,9,2001
Silent Hill 2,PC,8,2002
Silent Hill 2: Restless Dreams,Xbox,8,2002
Silent Hill 3,PlayStation 2,9,2003
Silent Hill 3,PC,9,2003
Silent Hill 4: The Room,PlayStation 2,8,2004
Silent Hill 4: The Room,Xbox,8,2004
Silent Hill 4: The Room,PC,7,2004
Silent Hill HD Collection,PlayStation 3,9,2012
Silent Hill HD Collection,Xbox 360,9,2012
Silent Hill Mobile,Wireless,8,2008
Silent Hill Origins,PlayStation Portable,8,2007
Silent Hill Origins,PlayStation 2,7,2008
Silent Hill: Book of Memories,PlayStation Vita,6,2012
Silent Hill: Downpour,Xbox 360,5,2012
Silent Hill: Downpour,PlayStation 3,5,2012
Silent Hill: Homecoming,PlayStation 3,7,2008
Silent Hill: Homecoming,Xbox 360,7,2008
Silent Hill: Homecoming,PC,6,2008
Silent Hill: Shattered Memories,Wii,9,2009
Silent Hill: Shattered Memories,PlayStation 2,8,2010
Silent Hill: Shattered Memories,PlayStation Portable,7,2010
Silent Hill: The Escape,iPhone,5,2009
Silent Hunter II,PC,8,2001
Silent Hunter III,PC,9,2005
Silent Hunter V: Battle Of The Atlantic,PC,6,2010
Silent Hunter: Wolves of the Pacific,PC,9,2007
Silent Line: Armored Core,PlayStation 2,8,2003
Silent Scope,Dreamcast,8,2000
Silent Scope,Game Boy Advance,7,2002
Silent Scope,Wireless,7,2005
Silent Scope,PlayStation 2,6,2000
Silent Scope,iPhone,4,2009
Silent Scope 2: Dark Silhouette,PlayStation 2,7,2001
Silent Scope 3,PlayStation 2,4,2002
Silent Scope Complete,Xbox,7,2004
Silent Storm,PC,8,2004
Silhouette Mirage,PlayStation,9,2000
Silpheed,Sega CD,7,2008
Silpheed: The Lost Planet,PlayStation 2,8,2001
Silver,Dreamcast,8,2000
Silver,PC,7,1999
Silver Star Chess,Wii,6,2009
Silver Star Reversi,Wii,5,2009
Silverfall,PC,6,2007
Silverfish,iPhone,9,2010
Silverload,PlayStation,6,1996
Silverload,PlayStation,6,1996
Sim Theme Park,PlayStation,9,2000
Sim Theme Park,PC,8,1999
SimAnimals,Nintendo DS,7,2009
SimAnimals,Wii,5,2009
SimAnimals Africa,Nintendo DS,7,2009
SimAnimals Africa,Wii,6,2009
SimCity,PC,7,2013
SimCity (2008),iPhone,8,2008
SimCity [1991],Wii,8,2006
SimCity 2000,PlayStation,7,1996
SimCity 2000,Game Boy Advance,7,2003
SimCity 2000,Nintendo 64,4,1998
SimCity 3000,PC,9,1999
SimCity 3000 Unlimited,PC,9,2000
SimCity 4,PC,9,2003
SimCity 4: Rush Hour,PC,8,2003
SimCity 64,Nintendo 64DD,6,2000
SimCity Creator,Wii,6,2008
SimCity Creator,Nintendo DS,6,2008
SimCity Deluxe,iPhone,8,2010
SimCity Deluxe HD,iPad,8,2010
SimCity DS,Nintendo DS,7,2007
SimCity Societies,Wireless,8,2007
SimCity Societies,PC,6,2007
SimCity Societies Destinations,PC,7,2008
SimCity: Cities of Tomorrow,PC,8,2013
SimCoaster,PC,9,2001
SimEarth: The Living Planet,Wii,4,2009
SimEarth: The Living Planet,TurboGrafx-16,4,2009
SimGolf,PC,9,2002
Simon,Wireless,6,2005
Simon the Sorcerer: Who'd Even Want Contact?!,PC,7,2010
Simply Minesweeper,Nintendo DSi,6,2011
SiN,PC,7,1998
Sin and Punishment: Star Successor,Wii,9,2010
Sin and Punishment: Successor to the Earth,Nintendo 64,9,2000
Sin and Punishment: Successor to the Earth,Wii,9,2007
SiN Episodes: Emergence,PC,8,2006
Sinbad: Legend of the Seven Seas,PC,6,2004
Sine Mora,Xbox 360,9,2012
Sine Mora,iPhone,5,2013
Sing Party,Wii U,6,2012
Singles: Flirt up your Life,PC,7,2004
SingStar '80s,PlayStation 2,8,2007
SingStar '90s,PlayStation 2,8,2008
SingStar [2007] (Game & Microphone),PlayStation 3,9,2008
SingStar [2007] (Game Only Edition),PlayStation 3,9,2008
SingStar ABBA,PlayStation 2,6,2008
SingStar ABBA,PlayStation 3,6,2008
SingStar Amped,PlayStation 2,8,2007
SingStar Country,PlayStation 2,7,2008
SingStar Dance,PlayStation 3,6,2010
SingStar Legends,PlayStation 2,8,2008
SingStar Pop,PlayStation 2,8,2007
SingStar Pop Vol. 2,PlayStation 2,7,2008
SingStar Rocks!,PlayStation 2,5,2006
SingStar Vol. 2 (Game Only Edition),PlayStation 3,8,2008
SingStar: Queen,PlayStation 3,6,2009
Singularity,PC,7,2010
Singularity,Xbox 360,7,2010
Singularity,PlayStation 3,7,2010
Sinistar: Unleashed,PC,8,1999
Sinking Island,PC,7,2008
Sins of a Solar Empire,PC,9,2008
Sins of a Solar Empire: Diplomacy,PC,8,2010
Sins of a Solar Empire: Entrenchment,PC,9,2009
Sins of a Solar Empire: Rebellion,PC,8,2012
"Sir, You are Being Hunted",PC,8,2014
Siren,PlayStation 2,8,2004
Siren: Blood Curse -- Episodes 1-4,PlayStation 3,7,2008
Siren: Blood Curse -- Episodes 5-8,PlayStation 3,9,2008
Siren: Blood Curse -- Episodes 9-12,PlayStation 3,9,2008
Siren: Blood Curse -- Full Game,PlayStation 3,8,2008
Sitting Ducks,Game Boy Advance,3,2004
Six Flags Fun Park,Wii,5,2009
Six Flags Fun Park,Nintendo DS,4,2008
Skate,Xbox 360,9,2007
Skate,PlayStation 3,9,2007
Skate,Wireless,8,2007
Skate 2,PlayStation 3,8,2009
Skate 2,Xbox 360,8,2009
Skate 3,PlayStation 3,8,2010
Skate 3,Xbox 360,8,2010
Skate It,Wii,9,2008
Skate It,Nintendo DS,8,2008
Skate It,iPhone,6,2010
Skater Nation,iPhone,8,2009
Skee-Ball for Prizes,Wireless,7,2006
Skeleton Warriors,PlayStation,5,1996
Sketch Nation Shooter,iPhone,8,2010
Ski and Shoot,Wii,7,2009
Ski Resort Extreme,PC,6,2004
Ski Resort Tycoon,PC,7,2000
Ski Safari,iPhone,7,2012
Ski-Doo Snowmobile Challenge,PlayStation 3,7,2009
Ski-Doo Snowmobile Challenge,Xbox 360,6,2009
Skies of Arcadia,Dreamcast,9,2000
Skies of Arcadia Legends,GameCube,9,2003
Skipping Stone,Wireless,9,2005
Skipping Stone IQ,Wireless,8,2007
Skirt Fighter,Wireless,6,2003
Skullgirls,Xbox 360,9,2012
Skullgirls,PlayStation 3,9,2012
Skullmonkeys,PlayStation,6,1998
Skulls of the Shogun,Xbox 360,7,2013
Sky Force,Wireless,10,2004
Sky Gamblers: Storm Raiders,iPhone,7,2012
Sky Gunner,PlayStation 2,8,2002
Sky Kid,Wii,4,2008
Sky Odyssey,PlayStation 2,9,2000
Skydive!,PC,2,1999
Skydrift,Xbox 360,8,2011
Skydrift,PlayStation 3,8,2011
Skylanders Battlegrounds,iPhone,7,2012
Skylanders Giants,PlayStation 3,8,2012
Skylanders Giants,Xbox 360,8,2012
Skylanders Giants,Wii,8,2012
Skylanders Spyro's Adventure,Wii,8,2011
Skylanders Spyro's Adventure,Xbox 360,8,2011
Skylanders Spyro's Adventure,PlayStation 3,8,2011
Skylanders SuperChargers,Xbox One,8,2015
Skylanders SuperChargers,PlayStation 4,8,2015
Skylanders Swap Force,Xbox 360,8,2013
Skylanders Swap Force,PlayStation 3,8,2013
Skylanders Swap Force,Wii U,8,2013
Skylanders Swap Force,Wii,8,2013
Skylanders Swap Force,Nintendo 3DS,7,2013
Skylanders Trap Team,PlayStation 4,8,2014
Slam 'n Jam '96: Featuring Magic and Kareem,PlayStation,5,1996
Slam Bolt Scrappers,PlayStation 3,6,2011
Slave Zero,PC,8,1999
Slave Zero,Dreamcast,3,1999
Sled Storm,PlayStation 2,9,2002
Sled Storm,PlayStation,8,1999
Sleeping Dogs,Xbox 360,9,2012
Sleeping Dogs,PlayStation 3,9,2012
Sleeping Dogs: Definitive Edition,Xbox One,9,2014
Slender: The Arrival,PC,7,2013
Slice It,iPhone,9,2010
Sliding Heroes,iPhone,8,2009
Slingo Quest,Wireless,8,2007
Slingo Supreme,Nintendo DSi,6,2012
Slotz Racer,iPhone,8,2009
Sly 2: Band of Thieves,PlayStation 2,9,2004
Sly 3: Honor Among Thieves,PlayStation 2,8,2005
Sly Cooper and the Thievius Raccoonus,PlayStation 2,9,2002
Sly Cooper: Thieves in Time,PlayStation Vita,8,2013
Sly Cooper: Thieves in Time,PlayStation 3,8,2013
Slyder,Wireless,9,2005
Small Arms,Xbox 360,8,2006
Small Soldiers,PlayStation,7,1998
Smart As...,PlayStation Vita,9,2012
Smart Bomb,PlayStation Portable,5,2005
Smart Boy's Gameroom,Nintendo DS,7,2007
Smart Boy's Toy Club,Nintendo DS,8,2008
Smart Girl's Magical Book Club,Nintendo DS,7,2008
Smart Girl's Party Game,Nintendo DS,8,2008
Smart Girl's Playhouse,Nintendo DS,7,2007
Smarty Pants,Wii,7,2007
Smash Ball,PC,8,2009
Smash Cars,PlayStation 3,7,2009
Smash Cars [2003],PlayStation 2,8,2003
Smash Court Tennis 3,PlayStation Portable,7,2007
Smash Court Tennis 3,Xbox 360,5,2008
Smash Court Tennis Pro Tournament,PlayStation 2,8,2002
Smash Court Tennis Pro Tournament 2,PlayStation 2,8,2004
Smash It!,Wireless,7,2007
Smash TV,Xbox 360,8,2005
Smashing Drive,GameCube,3,2002
Smashing Drive,Xbox,3,2002
Smashing Toys,PC,4,2009
Smite,PC,9,2014
Smite,Xbox One,9,2015
Smuggler's Run,PlayStation 2,8,2000
Smuggler's Run 2: Hostile Territory,PlayStation 2,9,2001
Smuggler's Run: Warzones,GameCube,8,2002
Smurf Racer,PlayStation,5,2001
Snail Mail,iPhone,8,2008
Snake Galaxy,iPhone,8,2009
Snake Mayhem 2,Wireless,8,2007
Snakeball,PlayStation 3,8,2008
Snakes,N-Gage,9,2005
Snapshot,PC,5,2012
Sneak King,Xbox,7,2006
Sneak King,Xbox 360,7,2006
Sneakers,Xbox,2,2002
Sneezies,PlayStation Portable,8,2010
Sniper Elite,Xbox,8,2005
Sniper Elite,PlayStation 2,8,2005
Sniper Elite,PC,8,2005
Sniper Elite III,PC,8,2014
Sniper Elite III,PlayStation 4,8,2014
Sniper Elite V2,Xbox 360,8,2012
Sniper Elite V2,PlayStation 3,8,2012
Sniper Elite V2,Wii U,7,2013
Sniper: Art of Victory,PC,3,2008
Sniper: Ghost Warrior,PC,5,2010
Sniper: Ghost Warrior,Xbox 360,5,2010
Sniper: Ghost Warrior,PlayStation 3,5,2011
Sniper: Ghost Warrior 2,PC,5,2013
Sniper: Path of Vengeance,PC,4,2002
SNK Arcade Classics: Volume 1,PlayStation 2,7,2008
SNK Arcade Classics: Volume 1,PlayStation Portable,7,2008
SNK Arcade Classics: Volume 1,Wii,7,2008
SNK vs. Capcom Card Fighters DS,Nintendo DS,4,2007
SNK vs. Capcom: Card Fighter's Clash,NeoGeo Pocket Color,9,2000
SNK vs. Capcom: Match of the Millennium,NeoGeo Pocket Color,10,2000
SNK vs. Capcom: SVC Chaos,Xbox,6,2004
"SnoCross 2 Featuring ""Air"" Blair Morgan",PlayStation 2,4,2007
SnoCross Championship Racing,PlayStation,8,2000
SnoCross Championship Racing,Dreamcast,3,2000
Snood,Game Boy Advance,7,2001
Snood 2,Wireless,8,2005
Snood 2: On Vacation,Nintendo DS,5,2005
Snoop Dogg Boxing,Wireless,9,2004
Snoop Dogg Cruisin',Wireless,7,2007
Snoopy the Flying Ace,Wireless,7,2007
Snoopy vs. the Red Baron,PlayStation Portable,7,2006
Snoopy vs. the Red Baron,PlayStation 2,7,2006
Snoopy: Flying Ace,Xbox 360,9,2010
Snowboard Kids,Nintendo 64,8,1998
Snowboard Kids 2,Nintendo 64,6,1999
Snowboard Park Tycoon,Wireless,7,2004
Snowboard Riot,Wii,6,2009
Snowmobile Racing,PC,5,1999
So Blonde,PC,7,2008
Soccer,Wii,5,2006
Soccer America International Cup,PlayStation 2,6,2001
Soccer Kid,Game Boy Advance,7,2002
Soccer Superstars,iPhone,8,2010
Soccer Superstars,Android,8,2010
Soccer Up,Wii,6,2011
SOCOM 3: U.S. Navy SEALs,PlayStation 2,9,2005
SOCOM 4: U.S. Navy SEALs,PlayStation 3,7,2011
SOCOM II: U.S. Navy SEALs,PlayStation 2,9,2003
SOCOM: Confrontation,PlayStation 3,5,2008
SOCOM: U.S. Navy SEALs,PlayStation 2,8,2002
SOCOM: U.S. Navy SEALs Combined Assault,PlayStation 2,8,2006
SOCOM: U.S. Navy SEALs Fireteam Bravo,PlayStation Portable,8,2005
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PlayStation Portable,8,2006
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PlayStation Portable,8,2010
SOCOM: U.S. Navy SEALs Mobile Recon,Wireless,9,2005
SOCOM: U.S. Navy SEALs Tactical Strike,PlayStation Portable,7,2007
Sokomania,Nintendo DSi,5,2010
SOL: Exodus,PC,6,2012
Solar 2,PC,8,2011
Solarquest,iPhone,8,2008
Solatorobo: Red The Hunter,Nintendo DS,8,2011
Soldier Blade,Wii,8,2007
Soldier Elite,PC,4,2006
Soldier of Fortune,PC,9,2000
Soldier of Fortune,Dreamcast,9,2001
Soldier of Fortune (Gold Edition),PlayStation 2,5,2001
Soldier of Fortune II: Double Helix,PC,9,2002
Soldier of Fortune II: Double Helix,Macintosh,9,2002
Soldier of Fortune II: Double Helix,Xbox,6,2003
Soldier of Fortune: Payback,Xbox 360,6,2007
Soldier of Fortune: Payback,PlayStation 3,6,2007
Soldier of Fortune: Payback,PC,6,2007
Soldiers of Anarchy,PC,8,2002
Soldiers: Heroes of World War II,PC,9,2004
Söldner-X 2: Final Prototype,PlayStation 3,9,2010
Soldner-X: Himmelssturmer,PlayStation 3,8,2008
Soldner: Secret Wars,PC,5,2004
Solipskier,iPhone,8,2010
Solitaire Overload,Nintendo DS,8,2007
Solomon's Key,Wii,7,2006
Solomon's Key (Arcade),Wii,7,2009
Soltrio Solitaire,Xbox 360,5,2007
Soma,PC,8,2015
Son of the Mask,Wireless,7,2005
Song of the Deep,PlayStation 4,6,2016
Sonic & All-Stars Racing Transformed,Xbox 360,9,2012
Sonic & All-Stars Racing Transformed,PlayStation 3,9,2012
Sonic & All-Stars Racing Transformed,Wii U,9,2012
Sonic & All-Stars Racing Transformed,PlayStation Vita,7,2012
Sonic & All-Stars Racing Transformed,Nintendo 3DS,7,2012
Sonic & Knuckles,Wii,9,2010
Sonic & Knuckles,Xbox 360,8,2009
Sonic & SEGA All-Stars Racing,Nintendo DS,8,2010
Sonic & SEGA All-Stars Racing,PlayStation 3,8,2010
Sonic & SEGA All-Stars Racing,Wii,8,2010
Sonic & SEGA All-Stars Racing,Nintendo DS,8,2010
Sonic & SEGA All-Stars Racing with Banjo Kazooie,Xbox 360,8,2010
Sonic & The Black Knight,Wii,4,2009
Sonic 3D Blast,Wii,6,2007
Sonic Advance,Game Boy Advance,9,2002
Sonic Advance 2,Game Boy Advance,9,2003
Sonic Advance 3,Game Boy Advance,9,2004
Sonic Adventure,Dreamcast,9,1999
Sonic Adventure,PlayStation 3,4,2010
Sonic Adventure,Xbox 360,4,2010
Sonic Adventure 2,Dreamcast,9,2001
Sonic Adventure 2: Battle,GameCube,7,2002
Sonic Adventure DX: Director's Cut,GameCube,5,2003
Sonic and the Secret Rings,Wii,7,2007
Sonic at the Olympic Winter Games,iPhone,5,2010
Sonic Battle,Game Boy Advance,8,2004
Sonic Boom: Rise of Lyric,Wii U,4,2014
Sonic Boom: Shattered Crystal,Nintendo 3DS,4,2014
Sonic CD,Xbox 360,9,2011
Sonic CD,iPhone,9,2011
Sonic Chaos,Wii,6,2009
Sonic Chaos,Master System,6,2009
Sonic Chronicles: The Dark Brotherhood,Nintendo DS,7,2008
Sonic Classic Collection,Nintendo DS,7,2010
Sonic Colors,Wii,9,2010
Sonic Colors,Nintendo DS,9,2010
Sonic Dash,Android,6,2013
Sonic Dash,iPhone,6,2013
Sonic Free Riders,Xbox 360,8,2010
Sonic Gems Collection,GameCube,8,2005
Sonic Generations,PlayStation 3,9,2011
Sonic Generations,Xbox 360,9,2011
Sonic Generations,PC,9,2011
Sonic Generations,Nintendo 3DS,7,2011
Sonic Heroes,GameCube,8,2004
Sonic Heroes,Xbox,7,2004
Sonic Heroes,PlayStation 2,7,2004
Sonic Heroes,PC,7,2004
Sonic Jump,iPhone,8,2012
Sonic Jump [2007],Wireless,5,2006
Sonic Jump 2,Wireless,7,2008
Sonic Mega Collection,GameCube,8,2002
Sonic Mega Collection Plus,PlayStation 2,8,2004
Sonic Mega Collection Plus,Xbox,8,2004
Sonic N,N-Gage,6,2003
Sonic Pinball Party,Game Boy Advance,8,2003
Sonic Riders,GameCube,6,2006
Sonic Riders,Xbox,6,2006
Sonic Riders,PlayStation 2,6,2006
Sonic Riders,PC,4,2006
Sonic Riders: Zero Gravity,PlayStation 2,6,2008
Sonic Riders: Zero Gravity,Wii,6,2008
Sonic Rivals,PlayStation Portable,7,2006
Sonic Rivals 2,PlayStation Portable,7,2007
Sonic Rush,Nintendo DS,9,2005
Sonic Rush Adventure,Nintendo DS,8,2007
Sonic Shuffle,Dreamcast,5,2000
Sonic Spinball,Wii,8,2007
Sonic the Hedgehog,Xbox 360,5,2006
Sonic the Hedgehog,PlayStation 3,4,2007
Sonic the Hedgehog (Genesis),Wii,8,2007
Sonic the Hedgehog (Master System),Wii,8,2008
Sonic the Hedgehog [1991],Wireless,9,2005
Sonic the Hedgehog [1991],iPod,7,2007
Sonic the Hedgehog [1991],iPhone,6,2009
Sonic the Hedgehog 2,Xbox 360,8,2007
Sonic the Hedgehog 2,Master System,8,2008
Sonic the Hedgehog 2 (Genesis),Wii,9,2007
Sonic the Hedgehog 2 (Master System),Wii,8,2008
Sonic the Hedgehog 2 [2010 version],iPhone,6,2010
Sonic the Hedgehog 3,Wii,9,2007
Sonic the Hedgehog 3,Xbox 360,8,2009
Sonic the Hedgehog 4: Episode I,iPhone,8,2010
Sonic the Hedgehog 4: Episode I,Xbox 360,8,2010
Sonic the Hedgehog 4: Episode I,Wii,8,2010
Sonic the Hedgehog 4: Episode I,PlayStation 3,8,2010
Sonic the Hedgehog 4: Episode II,Xbox 360,7,2012
Sonic the Hedgehog 4: Episode II,PlayStation 3,7,2012
Sonic The Hedgehog Arcade,Xbox 360,7,2007
Sonic The Hedgehog: Pocket Adventure,NeoGeo Pocket Color,10,1999
Sonic Unleashed,PlayStation 2,7,2008
Sonic Unleashed,Wii,7,2008
Sonic Unleashed,Xbox 360,5,2008
Sonic Unleashed,PlayStation 3,5,2008
Sonic: Lost World,Wii U,6,2013
Sonic: Lost World [3DS],Nintendo 3DS,7,2013
Sonic's Ultimate Genesis Collection,PlayStation 3,9,2009
Sonic's Ultimate Genesis Collection,Xbox 360,9,2009
SonSon (Arcade),Wii,6,2011
Soosiz,iPhone,9,2009
Sorcerian: Apprentice of Seven Star Magic,Dreamcast,6,2000
Sorcery,PlayStation 3,8,2012
Sorcery Saga: The Curse of the Great Curry God,PlayStation Vita,8,2014
"Sorcery Saga: The Curse of the Great Curry God (Hot and Spicy, Everything Nicey Limited Edition)",PlayStation Vita,8,2014
Sorcery!,iPhone,9,2013
Soul Blade,PlayStation,8,1997
Soul Bubbles,Nintendo DS,8,2008
Soul Fighter,Dreamcast,3,1999
Soul Nomad & The World Eaters,PlayStation 2,8,2007
Soul of Darkness,Nintendo DSi,9,2010
Soul of the Samurai,PlayStation,8,1999
Soul Reaver 2: Legacy of Kain,PlayStation 2,9,2001
Soul Reaver 2: Legacy of Kain,PC,9,2001
Soul Sacrifice,PlayStation Vita,8,2013
Soul Trapper,iPhone,6,2008
Soulbringer,PC,7,2000
Soulcalibur,Dreamcast,10,1999
Soulcalibur,Xbox 360,8,2008
Soulcalibur II,Xbox,9,2003
Soulcalibur II,GameCube,9,2003
Soulcalibur II,PlayStation 2,9,2003
Soulcalibur III,PlayStation 2,9,2005
Soulcalibur IV,Xbox 360,9,2008
Soulcalibur IV,PlayStation 3,9,2008
Soulcalibur IV (Premium Edition),Xbox 360,9,2008
Soulcalibur IV (Premium Edition),PlayStation 3,9,2008
Soulcalibur Legends,Wii,6,2007
Soulcalibur V,PlayStation 3,8,2012
Soulcalibur V,Xbox 360,8,2012
Soulcalibur: Broken Destiny,PlayStation Portable,8,2009
Sound Shapes,PlayStation 3,9,2012
Sound Shapes,PlayStation Vita,9,2012
Sound Shapes,PlayStation 4,9,2012
Soundodger,PC,7,2013
Sour Patch Kids: World Gone Sour,PlayStation 3,7,2012
South Park,Nintendo 64,6,1999
South Park,PC,5,1999
South Park,PlayStation,2,1999
South Park 10: The Game,Wireless,6,2007
South Park Imaginationland,iPhone,6,2008
South Park Let's Go Tower Defense Play!,Xbox 360,7,2009
South Park Rally,Nintendo 64,6,2000
South Park Rally,PC,5,2000
South Park Rally,Dreamcast,4,2000
South Park Rally,PlayStation,3,2000
South Park: Chef's Luv Shack,PC,6,1999
South Park: Chef's Luv Shack,Nintendo 64,5,1999
South Park: Chef's Luv Shack,Dreamcast,4,1999
South Park: Chef's Luv Shack,PlayStation,2,1999
South Park: Tenorman's Revenge,Xbox 360,7,2012
South Park: The Stick of Truth,PlayStation 3,9,2014
South Park: The Stick of Truth,PC,9,2014
South Park: The Stick of Truth,Xbox 360,9,2014
Soviet Strike,PlayStation,8,1998
Space Ace,iPhone,8,2009
Space Ace,Nintendo DSi,3,2010
Space Bunnies Must Die,PC,7,1998
Space Bust-A-Move,Nintendo DS,8,2009
Space Channel 5,Dreamcast,9,2000
Space Channel 5 (Dream Collection),Dreamcast,9,1999
Space Channel 5: Special Edition,PlayStation 2,7,2003
Space Channel 5: Ulala's Cosmic Attack,Game Boy Advance,5,2003
Space Chimps,Xbox 360,7,2008
Space Chimps,PlayStation 2,7,2008
Space Chimps,PC,7,2008
Space Chimps,Nintendo DS,7,2008
Space Chimps,Wii,7,2008
Space Colony,PC,8,2003
Space Empires IV,PC,9,2001
Space Empires V,PC,7,2006
Space Force Captains,PC,4,2008
Space Giraffe,Xbox 360,5,2007
Space Griffon,Dreamcast,4,1999
Space Griffon,PlayStation,2,1996
Space Gunner,Wireless,3,2003
Space Hack,PC,6,2006
Space Harrier,Arcade,8,2009
Space Harrier,Wii,5,2008
Space Harrier,Master System,5,2008
Space Harrier,Wireless,3,2006
Space Harrier (Arcade),Wii,8,2009
Space Harrier II,Wii,5,2007
Space HoRSE,PC,6,2002
Space Hulk,PC,7,2013
Space Hulk: Vengeance of the Blood Angels,PlayStation,6,1996
Space Interceptor: Project Freedom,PC,8,2004
Space Invaders,PlayStation,8,1999
Space Invaders,Nintendo 64,8,1999
Space Invaders,Game Boy Advance,8,2002
Space Invaders,Game Boy Color,7,1999
Space Invaders,PC,7,2000
Space Invaders,iPhone,6,2009
Space Invaders,Super NES,4,2008
Space Invaders  [2007] (Taito Version),Wireless,5,2007
Space Invaders Extreme,PlayStation Portable,9,2008
Space Invaders Extreme,Nintendo DS,9,2008
Space Invaders Extreme,Xbox 360,8,2009
Space Invaders Extreme 2,Nintendo DS,8,2009
Space Invaders Get Even,Wii,6,2009
Space Invaders Infinity Gene,iPhone,9,2009
Space Invaders Infinity Gene,Xbox 360,8,2010
Space Invaders Infinity Gene,PlayStation 3,8,2010
Space Invaders Pinball,Wireless,4,2007
Space Invaders Revolution,Nintendo DS,5,2005
Space Invaders: The Original Game,Wii,4,2008
Space Marauder,Game Boy Color,6,2000
Space Miner: Space Ore Bust,iPhone,8,2010
Space Monkey,Wireless,8,2008
Space Monkey,iPhone,8,2008
Space Ninja,iPhone,9,2009
Space Rangers 2: Rise of the Dominators,PC,8,2006
Space Siege,PC,6,2008
Space Spyder,Wireless,3,2003
Space Station Silicon Valley,Nintendo 64,10,1998
Space Station Silicon Valley,Game Boy Color,5,2000
Space Taxi Pinball,Wireless,5,2003
Space Trader: Merchant Marine,PC,6,2008
Space Trek,Wii,6,2010
Space War Commander,PC,7,2009
Spaceball: Revolution,Wii,6,2009
Spacebase DF-9,PC,7,2014
SpaceForce: Rogue Universe,PC,5,2007
SpaceStationSim,PC,5,2007
Spandex Force,PC,8,2008
Spanish for Everyone,Nintendo DS,2,2007
Spare Parts,PlayStation 3,5,2011
Spare Parts,Xbox 360,5,2011
Spartan,PC,5,2004
Spartan: Total Warrior,GameCube,8,2005
Spartan: Total Warrior,PlayStation 2,8,2005
Spartan: Total Warrior,Xbox,8,2005
Spawn,Game Boy Color,3,1999
Spawn: Armageddon,Xbox,8,2003
Spawn: Armageddon,PlayStation 2,8,2003
Spawn: Armageddon,GameCube,7,2003
Spawn: In the Demon's Hand,Dreamcast,7,2000
Spawn: The Eternal,PlayStation,2,1997
Spearhead,PC,7,1998
Spec Ops II: Green Berets,PC,5,1999
Spec Ops: Stealth Patrol,PlayStation,3,2000
Spec Ops: The Line,PlayStation 3,8,2012
Spec Ops: The Line,Xbox 360,8,2012
Special Crime Unit: Blood on Campus,Wireless,8,2007
Special Forces: Nemesis Strike,PC,7,2005
Special Forces: Team X,PC,5,2013
Special Forces: Team X,Xbox 360,5,2013
Spectral Force 3,Xbox 360,5,2008
Spectral Souls,PlayStation Portable,6,2006
Spectrobes,Nintendo DS,7,2007
Spectrobes: Beyond The Portals,Nintendo DS,8,2008
Spectrobes: Origins,Wii,8,2009
Speed Busters: American Highways,PC,8,1999
Speed Devils,Dreamcast,8,1999
Speed Devils Online Racing,Dreamcast,7,2001
Speed Kings,PlayStation 2,6,2003
Speed Kings,Xbox,6,2003
Speed Kings,GameCube,6,2003
Speed Punks,PlayStation,9,2000
Speed Racer,PlayStation,5,1998
Speed Racer: The Videogame,PlayStation 2,8,2008
Speed Racer: The Videogame,Nintendo DS,8,2008
Speed Racer: The Videogame,Wii,7,2008
Speed Racer: The Videogame,Wireless,7,2008
Speedball 2 Evolution,iPhone,7,2011
Speedball 2: Brutal Deluxe,Xbox 360,6,2007
Speedball 2100,PlayStation,7,2000
Speedy Gonzales: Aztec Adventure,Game Boy Color,5,2000
SpellForce 2: Shadow Wars,PC,8,2006
SpellForce: The Order of Dawn,PC,8,2004
Spelling Challenges and More!,PlayStation Portable,5,2007
Spelling Challenges and More!,Nintendo DS,2,2007
Spelunker,Wii,3,2008
Spelunky,Xbox 360,9,2012
Spelunky,PC,9,2013
Sphinx and the Cursed Mummy,PlayStation 2,9,2003
Sphinx and the Cursed Mummy,GameCube,9,2003
Sphinx and the Cursed Mummy,Xbox,9,2003
Sphinx and the Cursed Mummy,Wireless,8,2005
Spice World,PlayStation,2,1998
Spider,PlayStation,6,1997
Spider-Man [2000],PlayStation,9,2000
Spider-Man [2000],Game Boy Color,9,2000
Spider-Man [2000],Nintendo 64,9,2000
Spider-Man [2001],Dreamcast,8,2001
Spider-Man [2001],PC,6,2001
